Low,High,Last,Weighted Avg
70.03,84.82,82.00,76.51
70.39,89.84,86.90,79.02
60.77,87.07,84.99,79.59
70.77,95.76,90.51,84.88
72.02,84.91,80.00,80.12
68.00,80.86,69.00,74.67
68.97,84.04,81.00,77.16
60.39,78.20,66.29,70.78
66.98,79.11,70.00,73.31
55.99,76.64,62.45,68.67
52.83,75.54,60.05,65.68
56.14,79.69,63.11,64.42
52.37,77.60,60.50,66.34
51.02,74.41,62.68,66.03
65.00,107.30,65.00,73.41
58.04,81.59,62.50,71.27
66.00,80.00,66.01,75.02
68.57,90.99,75.13,82.81
57.72,84.30,69.50,74.00
68.53,87.00,70.01,78.20
59.28,84.80,61.00,72.33
67.50,86.38,68.50,73.80
52.51,88.00,55.04,69.41
39.85,84.99,55.01,66.50
50.00,84.00,61.00,62.36
59.50,84.00,64.00,67.26
62.00,76.39,71.00,68.88
66.46,87.00,87.00,75.39
67.27,82.00,79.96,73.66
66.95,84.97,76.00,74.90
66.15,93.28,92.86,78.89
14.02,89.94,85.00,79.00
66.52,82.68,67.20,73.83
67.53,89.52,71.01,80.39
68.30,100.99,74.00,83.22
79.00,101.04,100.00,90.10
81.00,101.51,86.35,90.31
89.68,102.85,95.00,94.24
85.45,109.00,104.90,92.93
71.34,107.91,104.98,94.21
85.88,99.21,91.00,91.94
72.00,104.00,104.00,90.11
81.03,109.25,102.50,94.41
74.20,95.00,85.50,86.25
65.91,90.96,72.00,79.83
72.00,90.03,74.00,81.61
70.12,89.00,73.00,78.55
68.00,84.61,76.00,74.91
